id,product_name,buy_date,buy_price,expiration_date
1,Squash - Acorn,2024-02-19,$4.89,4/12/2023
2,Cocoa Feuilletine,2024-01-12,$2.16,1/23/2023
3,Magnotta - Bel Paese White,2024-03-07,$2.87,1/7/2023
4,Creme De Cacao White,2023-11-09,$3.19,6/6/2022
5,Wheat - Soft Kernal Of Wheat,2023-12-13,$6.33,4/14/2023
6,Cheese - Taleggio D.o.p.,2024-03-29,$3.18,12/15/2022
7,Easy Off Oven Cleaner,2024-01-03,$2.63,1/10/2023
8,Flavouring - Rum,2024-01-27,$8.02,6/2/2022
9,"Stock - Beef, White",2023-08-11,$2.16,10/13/2022
10,Jolt Cola,2024-04-27,$6.94,7/25/2022
11,Cheese - Oka,2023-10-15,$5.74,6/7/2022
12,Dragon Fruit,2024-01-30,$0.09,2/2/2023
13,"Split Peas - Yellow, Dry",2023-11-03,$0.05,1/2/2023
14,Cream - 35%,2024-03-12,$0.24,8/1/2022
15,Lamb - Whole Head Off,2024-05-21,$9.98,1/2/2023
16,Swiss Chard,2023-06-27,$4.41,10/7/2022
17,"Wine - White, French Cross",2024-01-14,$0.96,6/23/2022
18,Cranberries - Dry,2024-01-20,$0.80,11/12/2022
19,"Lemonade - Natural, 591 Ml",2024-04-01,$7.43,8/25/2022
20,Ocean Spray - Ruby Red,2024-04-29,$4.08,3/13/2023
21,Ice Cream - Life Savers,2024-02-08,$5.38,5/26/2023
22,Wine - Chablis J Moreau Et Fils,2023-11-29,$2.79,12/29/2022
23,"Gin - Gilbeys London, Dry",2023-08-15,$6.77,7/13/2022
24,"Pork - Tenderloin, Fresh",2023-09-01,$3.39,9/21/2022
25,Compound - Strawberry,2023-08-19,$9.91,1/2/2023
26,"Lamb - Whole Head Off,nz",2024-04-08,$5.11,4/2/2023
27,Pepper - Pablano,2023-07-26,$7.39,3/18/2023
28,Plaintain,2023-10-14,$3.33,12/29/2022
29,Cornstarch,2024-05-26,$1.56,12/7/2022
30,Soup - Campbells Mushroom,2023-12-10,$6.92,5/10/2023
31,Crab Meat Claw Pasteurise,2023-06-05,$0.28,8/18/2022
32,Wine - Winzer Krems Gruner,2023-07-11,$6.74,8/2/2022
33,Squid Ink,2023-12-03,$6.00,6/13/2022
34,Flour - Strong,2023-12-08,$1.04,7/29/2022
35,Rosemary - Fresh,2024-03-24,$0.11,11/15/2022
36,Rice - Basmati,2023-09-08,$4.76,12/31/2022
37,Toothpick Frilled,2024-05-18,$5.67,8/5/2022
38,Pickerel - Fillets,2024-02-05,$0.58,10/18/2022
39,Veal - Leg,2023-06-28,$9.51,2/28/2023
40,Beans - Fine,2023-06-29,$2.84,11/25/2022
