id,bought_id,sell_date,sell_price
1,36,2024-05-02,$6.46
2,28,2023-11-17,$8.70
3,24,2023-11-05,$13.51
4,31,2023-10-01,$16.80
5,6,2023-07-30,$15.30
6,31,2023-08-20,$13.24
7,8,2023-12-30,$8.34
8,31,2023-05-31,$13.38
9,2,2024-01-02,$17.80
10,29,2023-09-29,$11.05
11,7,2023-07-07,$9.71
12,4,2023-06-23,$9.07
13,29,2024-05-02,$16.36
14,29,2024-02-26,$19.27
15,5,2024-02-04,$19.46
16,1,2023-11-02,$15.21
17,3,2023-11-04,$13.33
18,13,2024-04-11,$13.67
19,11,2023-06-19,$19.40
20,21,2023-10-29,$12.56
21,6,2023-06-20,$7.13
22,8,2023-09-22,$18.28
23,9,2024-01-31,$19.54
24,25,2023-11-27,$12.25
25,28,2023-06-11,$9.04
26,21,2023-06-03,$18.91
27,37,2023-10-22,$8.45
28,35,2023-09-05,$11.48
29,27,2023-08-06,$12.64
30,9,2024-05-15,$19.35
31,10,2024-02-06,$9.24
32,25,2023-08-18,$13.79
33,0,2024-02-05,$12.10
34,2,2024-03-02,$9.55
35,8,2023-12-28,$17.02
36,12,2023-10-01,$14.79
37,5,2024-04-26,$18.61
38,31,2024-05-04,$9.15
39,31,2023-11-28,$8.29
40,10,2023-07-21,$11.13
